#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:17:34 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:17:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.add=_RAJ,_DEJ&-c.r=  2&-c.geom=r&-source=J/A+A/661/A53/table1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=l_Mdust&-out=Mdust&Simbad=Simbad&-out.max=unlimited&-c.eq=J2000&-c.u=arcmin&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36610053
#Name: J/A+A/661/A53
#Title: Survey of Orion disks with ALMA (SODA) (van Terwisga+, 2022)
#INFO	ivoid=ivo://cds.vizier/j/a+a/661/a53	    IVOID of underlying data collection
#INFO	creator=van Terwisga S.E.	    First author or institution
#INFO	cites=bibcode:2022A&A...661A..53V	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2022	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/661/A53	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36610053	    Dataset identifier that can be used for citation
#INFO	publication_date=2022-09-08	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_661_A53_table1:
#Name: J/A+A/661/A53/table1
#Title: Continuum fluxes and masses for the SODA sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	RAJ2000	(A11)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	l_Mdust	(A1)	[<] Upper limit flag on Mdust	[ucd=meta.code.error]
#Column	Mdust	(F5.1)	[1.1/363.92] Disk dust mass	[ucd=phys.mass]
_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	l_Mdust	Mdust
084.4242083	 -6.6595333	05 37 41.81	-06 39 34.32	 	  2.0
084.3852083	 -6.6513833	05 37 32.45	-06 39 04.98	 	  4.8
083.6211667	 -6.6477278	05 34 29.08	-06 38 51.82	 	 15.4
084.1212083	 -6.6444944	05 36 29.09	-06 38 40.18	<	  1.5
083.9025417	 -6.6430611	05 35 36.61	-06 38 35.02	<	  1.5
084.2553750	 -6.6253278	05 37 01.29	-06 37 31.18	<	  1.6
084.1974583	 -6.6233278	05 36 47.39	-06 37 23.98	<	  1.5
083.9927083	 -6.6120500	05 35 58.25	-06 36 43.38	 	  2.2
084.4874583	 -6.6092500	05 37 56.99	-06 36 33.30	 	  5.0
084.4477500	 -6.6082722	05 37 47.46	-06 36 29.78	 	  4.3
083.8828333	 -6.6069278	05 35 31.88	-06 36 24.94	 	  2.0
083.5656250	 -6.6012944	05 34 15.75	-06 36 04.66	 	 40.7
084.4712083	 -6.5987556	05 37 53.09	-06 35 55.52	 	  2.7
084.1053750	 -6.5954278	05 36 25.29	-06 35 43.54	<	  1.7
083.6375833	 -6.5899000	05 34 33.02	-06 35 23.64	<	  1.5
084.1105000	 -6.5873500	05 36 26.52	-06 35 14.46	<	  1.5
084.3052917	 -6.5835056	05 37 13.27	-06 35 00.62	 	  5.2
083.9282083	 -6.5810500	05 35 42.77	-06 34 51.78	 	 46.3
083.7144167	 -6.5743333	05 34 51.46	-06 34 27.60	<	  1.5
083.5531250	 -6.5742000	05 34 12.75	-06 34 27.12	<	  1.8
083.7944583	 -6.5707556	05 35 10.67	-06 34 14.72	<	  1.4
084.2506667	 -6.5657944	05 37 00.16	-06 33 56.86	<	  1.5
084.2504583	 -6.5575722	05 37 00.11	-06 33 27.26	 	  4.4
084.1539167	 -6.5566833	05 36 36.94	-06 33 24.06	 	 29.4
084.2535833	 -6.5530500	05 37 00.86	-06 33 10.98	 	  2.1
083.5706250	 -6.5470111	05 34 16.95	-06 32 49.24	<	  1.6
084.0277500	 -6.5381000	05 36 06.66	-06 32 17.16	 	  4.3
083.6414167	 -6.5357000	05 34 33.94	-06 32 08.52	<	  1.5
083.5290417	 -6.5359167	05 34 06.97	-06 32 09.30	<	  1.3
084.0270000	 -6.5284556	05 36 06.48	-06 31 42.44	 	  1.7
083.5188750	 -6.5271556	05 34 04.53	-06 31 37.76	<	  1.5
083.5852917	 -6.5209000	05 34 20.47	-06 31 15.24	 	  1.8
083.9738750	 -6.5153333	05 35 53.73	-06 30 55.20	 	  1.8
083.5259167	 -6.5125278	05 34 06.22	-06 30 45.10	 	  7.2
083.7014583	 -6.5075000	05 34 48.35	-06 30 27.00	 	 20.1
083.8677500	 -6.5061056	05 35 28.26	-06 30 21.98	<	  1.7
084.1639167	 -6.5030778	05 36 39.34	-06 30 11.08	 	  7.5
084.1690833	 -6.5024389	05 36 40.58	-06 30 08.78	<	  1.3
083.8693750	 -6.5011389	05 35 28.65	-06 30 04.10	 	  1.4
083.9873750	 -6.4939444	05 35 56.97	-06 29 38.20	 	 12.8
084.0212917	 -6.4923778	05 36 05.11	-06 29 32.56	<	  1.4
084.3778333	 -6.4908167	05 37 30.68	-06 29 26.94	 	  1.8
084.2457500	 -6.4846944	05 36 58.98	-06 29 04.90	 	 14.8
084.0710833	 -6.4725611	05 36 17.06	-06 28 21.22	<	  1.5
083.9342917	 -6.4713000	05 35 44.23	-06 28 16.68	<	  1.7
083.7082083	 -6.4700222	05 34 49.97	-06 28 12.08	 	 10.8
084.2342083	 -6.4648667	05 36 56.21	-06 27 53.52	<	  1.6
083.8289583	 -6.4570778	05 35 18.95	-06 27 25.48	 	  7.0
084.1565000	 -6.4548389	05 36 37.56	-06 27 17.42	<	  1.7
083.6798333	 -6.4540778	05 34 43.16	-06 27 14.68	 	  4.9
083.8768750	 -6.4516778	05 35 30.45	-06 27 06.04	<	  5.7
084.0880417	 -6.4494611	05 36 21.13	-06 26 58.06	<	  1.6
084.0033750	 -6.4430667	05 36 00.81	-06 26 35.04	<	  1.7
083.6117500	 -6.4408667	05 34 26.82	-06 26 27.12	<	  1.6
084.3805417	 -6.4384111	05 37 31.33	-06 26 18.28	<	  1.5
084.0908750	 -6.4339667	05 36 21.81	-06 26 02.28	 	  2.2
083.9415000	 -6.4331389	05 35 45.96	-06 25 59.30	 	  2.4
084.0255833	 -6.4311111	05 36 06.14	-06 25 52.00	<	  1.8
084.0807500	 -6.4308222	05 36 19.38	-06 25 50.96	 	  2.1
084.1162083	 -6.4265389	05 36 27.89	-06 25 35.54	<	  1.4
084.0849167	 -6.4220333	05 36 20.38	-06 25 19.32	 	  1.8
083.8002083	 -6.4195111	05 35 12.05	-06 25 10.24	<	  1.6
084.0041667	 -6.4187500	05 36 01.00	-06 25 07.50	<	  1.6
084.0487083	 -6.4163444	05 36 11.69	-06 24 58.84	<	  1.5
084.1087917	 -6.4139722	05 36 26.11	-06 24 50.30	<	  3.0
083.8242083	 -6.4106722	05 35 17.81	-06 24 38.42	 	  3.3
084.0812917	 -6.4105556	05 36 19.51	-06 24 38.00	 	  6.1
084.0345417	 -6.4101444	05 36 08.29	-06 24 36.52	<	  1.6
084.0397917	 -6.4089667	05 36 09.55	-06 24 32.28	<	  1.4
084.3587917	 -6.4021000	05 37 26.11	-06 24 07.56	<	  1.6
084.1266667	 -6.3992833	05 36 30.40	-06 23 57.42	<	  1.4
083.7252083	 -6.3974222	05 34 54.05	-06 23 50.72	 	 82.1
083.5206667	 -6.3964889	05 34 04.96	-06 23 47.36	 	  1.5
084.0936250	 -6.3957833	05 36 22.47	-06 23 44.82	 	 11.0
083.9906250	 -6.3956889	05 35 57.75	-06 23 44.48	<	  1.5
083.9106667	 -6.3955056	05 35 38.56	-06 23 43.82	<	  1.6
084.0525417	 -6.3943333	05 36 12.61	-06 23 39.60	 	  6.7
083.8465000	 -6.3935833	05 35 23.16	-06 23 36.90	 	  6.8
084.1078750	 -6.3924167	05 36 25.89	-06 23 32.70	<	  1.6
084.0880000	 -6.3917778	05 36 21.12	-06 23 30.40	 	  2.1
084.0541667	 -6.3918611	05 36 13.00	-06 23 30.70	 	  2.3
083.9055833	 -6.3906889	05 35 37.34	-06 23 26.48	 	  8.3
084.1325000	 -6.3894611	05 36 31.80	-06 23 22.06	<	  1.5
084.0854167	 -6.3895000	05 36 20.50	-06 23 22.20	 	 18.4
083.9763750	 -6.3886444	05 35 54.33	-06 23 19.12	<	  1.6
084.1155000	 -6.3867667	05 36 27.72	-06 23 12.36	 	  2.1
084.0990833	 -6.3864667	05 36 23.78	-06 23 11.28	 	  6.7
084.1254167	 -6.3861389	05 36 30.10	-06 23 10.10	 	 31.8
084.0898750	 -6.3812556	05 36 21.57	-06 22 52.52	 	 74.0
084.0793750	 -6.3804278	05 36 19.05	-06 22 49.54	<	  1.8
084.0733750	 -6.3802444	05 36 17.61	-06 22 48.88	 	  2.1
083.9209583	 -6.3792722	05 35 41.03	-06 22 45.38	 	 14.0
083.7010417	 -6.3785556	05 34 48.25	-06 22 42.80	<	  1.8
084.0870000	 -6.3771222	05 36 20.88	-06 22 37.64	<	  1.7
083.3374583	 -6.3759222	05 33 20.99	-06 22 33.32	 	 27.4
084.1020417	 -6.3734889	05 36 24.49	-06 22 24.56	<	  2.9
084.0824583	 -6.3729111	05 36 19.79	-06 22 22.48	 	  3.8
084.0477917	 -6.3727667	05 36 11.47	-06 22 21.96	 	  3.2
083.9309167	 -6.3720722	05 35 43.42	-06 22 19.46	<	  1.6
084.0858333	 -6.3710333	05 36 20.60	-06 22 15.72	 	  3.6
083.3325417	 -6.3683833	05 33 19.81	-06 22 06.18	<	  1.5
083.3255417	 -6.3671222	05 33 18.13	-06 22 01.64	<	  1.5
084.1159583	 -6.3656778	05 36 27.83	-06 21 56.44	<	  1.5
084.1029167	 -6.3653222	05 36 24.70	-06 21 55.16	<	  1.6
084.0874167	 -6.3646000	05 36 20.98	-06 21 52.56	 	 58.9
083.4592500	 -6.3633444	05 33 50.22	-06 21 48.04	<	  1.7
083.9285000	 -6.3624167	05 35 42.84	-06 21 44.70	<	  1.6
083.6992917	 -6.3615500	05 34 47.83	-06 21 41.58	<	  1.5
083.9485417	 -6.3600278	05 35 47.65	-06 21 36.10	 	  7.3
083.8666250	 -6.3591500	05 35 27.99	-06 21 32.94	<	  1.6
084.0946667	 -6.3575778	05 36 22.72	-06 21 27.28	<	  2.0
083.9057083	 -6.3550778	05 35 37.37	-06 21 18.28	<	  1.6
083.4775000	 -6.3553556	05 33 54.60	-06 21 19.28	<	  1.3
083.4977500	 -6.3551444	05 33 59.46	-06 21 18.52	 	  1.6
084.0770000	 -6.3440944	05 36 18.48	-06 20 38.74	 	 97.2
084.2300833	 -6.3404944	05 36 55.22	-06 20 25.78	 	 13.5
084.0955833	 -6.3398722	05 36 22.94	-06 20 23.54	<	  1.3
083.6227917	 -6.3318167	05 34 29.47	-06 19 54.54	<	  1.5
083.8633333	 -6.3284222	05 35 27.20	-06 19 42.32	 	  1.9
083.5963750	 -6.3278556	05 34 23.13	-06 19 40.28	<	  1.5
083.6986250	 -6.3278333	05 34 47.67	-06 19 40.20	 	  7.6
083.7393750	 -6.3258556	05 34 57.45	-06 19 33.08	 	  3.3
083.7752500	 -6.3261556	05 35 06.06	-06 19 34.16	<	  1.3
083.9930417	 -6.3256056	05 35 58.33	-06 19 32.18	 	  2.8
083.8640000	 -6.3253500	05 35 27.36	-06 19 31.26	 	 60.9
084.1349167	 -6.3221611	05 36 32.38	-06 19 19.78	 	 34.2
084.2597917	 -6.3168222	05 37 02.35	-06 19 00.56	 	  6.2
083.8402917	 -6.3139333	05 35 21.67	-06 18 50.16	<	  1.4
084.2730833	 -6.3109333	05 37 05.54	-06 18 39.36	 	  1.4
083.3875833	 -6.3104444	05 33 33.02	-06 18 37.60	 	 26.6
083.9042500	 -6.3064444	05 35 37.02	-06 18 23.20	<	  1.4
083.8567083	 -6.3048056	05 35 25.61	-06 18 17.30	 	  1.8
083.6895417	 -6.2953333	05 34 45.49	-06 17 43.20	<	  1.4
084.0628333	 -6.2936000	05 36 15.08	-06 17 36.96	 	 14.6
084.1033333	 -6.2918278	05 36 24.80	-06 17 30.58	 	 96.9
084.0716250	 -6.2900000	05 36 17.19	-06 17 24.00	<	  1.4
084.0472083	 -6.2822278	05 36 11.33	-06 16 56.02	<	  1.6
083.6061250	 -6.2748500	05 34 25.47	-06 16 29.46	<	  1.4
083.8727917	 -6.2740889	05 35 29.47	-06 16 26.72	 	  4.1
083.6512500	 -6.2737000	05 34 36.30	-06 16 25.32	 	  1.3
083.9252917	 -6.2726222	05 35 42.07	-06 16 21.44	<	  1.4
083.9990833	 -6.2682389	05 35 59.78	-06 16 05.66	 	 10.6
083.7876250	 -6.2643611	05 35 09.03	-06 15 51.70	<	  1.5
083.4249167	 -6.2636222	05 33 41.98	-06 15 49.04	<	  1.5
083.9888333	 -6.2604722	05 35 57.32	-06 15 37.70	 	  3.4
084.0045833	 -6.2587444	05 36 01.10	-06 15 31.48	 	 37.3
084.1824583	 -6.2576556	05 36 43.79	-06 15 27.56	<	  1.4
084.1388750	 -6.2564778	05 36 33.33	-06 15 23.32	<	  1.6
083.8107083	 -6.2535722	05 35 14.57	-06 15 12.86	 	 11.1
083.8111250	 -6.2520444	05 35 14.67	-06 15 07.36	 	  5.0
084.0660000	 -6.2474222	05 36 15.84	-06 14 50.72	 	 24.7
083.8913333	 -6.2424000	05 35 33.92	-06 14 32.64	 	  2.1
083.6382917	 -6.2413111	05 34 33.19	-06 14 28.72	 	  1.4
084.0277083	 -6.2405444	05 36 06.65	-06 14 25.96	 	 85.1
083.8663333	 -6.2375278	05 35 27.92	-06 14 15.10	 	 37.0
083.9928333	 -6.2347056	05 35 58.28	-06 14 04.94	 	  1.7
083.9635417	 -6.2318000	05 35 51.25	-06 13 54.48	<	  1.3
083.3934583	 -6.2313111	05 33 34.43	-06 13 52.72	<	  1.4
084.1683333	 -6.2259222	05 36 40.40	-06 13 33.32	 	 26.6
084.0615000	 -6.2213611	05 36 14.76	-06 13 16.90	 	 51.8
083.8566250	 -6.2179167	05 35 25.59	-06 13 04.50	 	  4.5
083.5329583	 -6.2096722	05 34 07.91	-06 12 34.82	<	  1.4
083.9536250	 -6.2022000	05 35 48.87	-06 12 07.92	 	 54.4
083.8450000	 -6.2013722	05 35 22.80	-06 12 04.94	<	  1.6
083.9460833	 -6.1957722	05 35 47.06	-06 11 44.78	<	  1.3
083.9258750	 -6.1953000	05 35 42.21	-06 11 43.08	<	  1.2
083.9860000	 -6.1919611	05 35 56.64	-06 11 31.06	<	  1.5
083.6401250	 -6.1887389	05 34 33.63	-06 11 19.46	 	  2.0
083.9762500	 -6.1887889	05 35 54.30	-06 11 19.64	<	  1.6
083.9692500	 -6.1867889	05 35 52.62	-06 11 12.44	<	  1.6
084.1698333	 -6.1856333	05 36 40.76	-06 11 08.28	 	  3.8
083.7247917	 -6.1807333	05 34 53.95	-06 10 50.64	<	  1.5
083.2080833	 -6.1793389	05 32 49.94	-06 10 45.62	 	  2.9
083.8617500	 -6.1763167	05 35 26.82	-06 10 34.74	<	  1.4
084.1691250	 -6.1758944	05 36 40.59	-06 10 33.22	 	 70.8
084.0400833	 -6.1753611	05 36 09.62	-06 10 31.30	<	  1.4
084.2473750	 -6.1708778	05 36 59.37	-06 10 15.16	<	  1.4
083.3811667	 -6.1651278	05 33 31.48	-06 09 54.46	<	  1.5
083.8161250	 -6.1629611	05 35 15.87	-06 09 46.66	<	  1.5
083.9338333	 -6.1585500	05 35 44.12	-06 09 30.78	 	  3.6
084.2468750	 -6.1545556	05 36 59.25	-06 09 16.40	 	  8.9
084.1384167	 -6.1486556	05 36 33.22	-06 08 55.16	 	  4.1
083.8955833	 -6.1434889	05 35 34.94	-06 08 36.56	 	  2.4
083.9328333	 -6.1412722	05 35 43.88	-06 08 28.58	<	  1.4
083.6445417	 -6.1410556	05 34 34.69	-06 08 27.80	 	  9.5
084.1315000	 -6.1410500	05 36 31.56	-06 08 27.78	 	 23.6
084.1456250	 -6.1392444	05 36 34.95	-06 08 21.28	<	  1.7
084.1980833	 -6.1389778	05 36 47.54	-06 08 20.32	 	 11.2
084.1088750	 -6.1343611	05 36 26.13	-06 08 03.70	 	103.5
083.7476250	 -6.1228889	05 34 59.43	-06 07 22.40	<	  1.4
083.8371250	 -6.1215833	05 35 20.91	-06 07 17.70	 	  2.3
083.3563750	 -6.1095556	05 33 25.53	-06 06 34.40	 	 42.2
083.7354583	 -6.1057778	05 34 56.51	-06 06 20.80	<	  1.4
083.5246667	 -6.1033278	05 34 05.92	-06 06 11.98	<	  1.4
083.4233333	 -6.1020500	05 33 41.60	-06 06 07.38	 	  4.1
083.4152917	 -6.1010889	05 33 39.67	-06 06 03.92	<	  1.4
083.7919167	 -6.0934778	05 35 10.06	-06 05 36.52	 	  4.6
083.6506250	 -6.0929833	05 34 36.15	-06 05 34.74	 	 25.2
083.6672500	 -6.0922611	05 34 40.14	-06 05 32.14	<	  1.4
084.1032083	 -6.0868722	05 36 24.77	-06 05 12.74	<	  1.5
083.8770833	 -6.0838500	05 35 30.50	-06 05 01.86	<	  1.6
083.8498333	 -6.0822889	05 35 23.96	-06 04 56.24	<	  1.7
083.5104583	 -6.0749611	05 34 02.51	-06 04 29.86	<	  1.6
083.4392083	 -6.0738944	05 33 45.41	-06 04 26.02	 	 69.4
083.3327917	 -6.0729056	05 33 19.87	-06 04 22.46	 	  1.5
083.3932917	 -6.0722722	05 33 34.39	-06 04 20.18	<	  1.5
083.7065000	 -6.0694278	05 34 49.56	-06 04 09.94	<	  1.6
083.8375417	 -6.0667333	05 35 21.01	-06 04 00.24	<	  1.4
083.5524583	 -6.0663611	05 34 12.59	-06 03 58.90	<	  1.4
083.7557500	 -6.0653222	05 35 01.38	-06 03 55.16	<	  1.6
083.8307083	 -6.0627889	05 35 19.37	-06 03 46.04	<	  1.5
084.0261250	 -6.0543000	05 36 06.27	-06 03 15.48	 	  1.4
083.8944167	 -6.0464944	05 35 34.66	-06 02 47.38	 	 10.8
083.9955000	 -6.0443889	05 35 58.92	-06 02 39.80	 	  2.9
083.9063750	 -6.0417722	05 35 37.53	-06 02 30.38	<	  1.4
083.9052083	 -6.0417611	05 35 37.25	-06 02 30.34	<	  1.5
083.5044167	 -6.0406333	05 34 01.06	-06 02 26.28	 	  1.9
083.7511250	 -6.0373222	05 35 00.27	-06 02 14.36	<	  1.5
084.3101667	 -6.0369778	05 37 14.44	-06 02 13.12	 	  2.1
083.5760000	 -6.0331222	05 34 18.24	-06 01 59.24	<	  1.5
084.0288750	 -6.0307889	05 36 06.93	-06 01 50.84	<	  1.5
083.8520833	 -6.0295722	05 35 24.50	-06 01 46.46	 	  3.9
084.3117083	 -6.0281389	05 37 14.81	-06 01 41.30	<	  1.3
083.8150833	 -6.0243944	05 35 15.62	-06 01 27.82	<	  1.5
083.7522500	 -6.0232056	05 35 00.54	-06 01 23.54	<	  1.5
084.2543333	 -6.0215889	05 37 01.04	-06 01 17.72	<	  1.5
083.8452917	 -6.0210444	05 35 22.87	-06 01 15.76	<	  1.6
084.2876250	 -6.0182333	05 37 09.03	-06 01 05.64	<	  1.4
083.8682917	 -6.0165000	05 35 28.39	-06 00 59.40	 	  1.8
084.0649167	 -6.0139778	05 36 15.58	-06 00 50.32	<	  1.7
083.7656250	 -6.0040722	05 35 03.75	-06 00 14.66	<	  1.4
083.7438750	 -6.0000278	05 34 58.53	-06 00 00.10	 	 91.3
083.9165833	 -5.9873222	05 35 39.98	-05 59 14.36	<	  1.3
083.8680417	 -5.9870333	05 35 28.33	-05 59 13.32	 	 21.9
083.8806667	 -5.9778000	05 35 31.36	-05 58 40.08	 	  3.2
083.8299167	 -5.9753389	05 35 19.18	-05 58 31.22	<	  1.7
083.8212917	 -5.9751889	05 35 17.11	-05 58 30.68	 	  3.7
083.8236250	 -5.9741167	05 35 17.67	-05 58 26.82	 	 29.3
083.8980417	 -5.9719667	05 35 35.53	-05 58 19.08	 	  6.4
083.6815833	 -5.9691000	05 34 43.58	-05 58 08.76	<	  1.6
083.9128333	 -5.9687556	05 35 39.08	-05 58 07.52	<	  1.5
083.6290000	 -5.9676167	05 34 30.96	-05 58 03.42	 	  1.7
083.1946667	 -5.9672056	05 32 46.72	-05 58 01.94	<	  1.5

