#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-27T20:39:24 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-27T20:39:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/622/A149/tablec1&-order=I&-out=RAJ2000&-out=DEJ2000&-out=Otype&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Class&-out=ClassFlag&-out=SimbadName&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36220149
#Name: J/A+A/622/A149
#Title: Vienna survey in Orion. III. (Grossschedl+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/622/a149	    IVOID of underlying data collection
#INFO	creator=Grossschedl J.E.	    First author or institution
#INFO	cites=bibcode:2019A&A...622A.149G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/622/A149	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36220149	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-08-26	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_622_A149_tablec1:
#Name: J/A+A/622/A149/tablec1
#Title: Catalog of YSO candidates and rejected YSOs
#Column	RAJ2000	(A12)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Otype	(a22)	Object Type as given in SIMBAD	[ucd=src.class]
#Column	Jmag	(F7.4)	? J magnitude from VISTA	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.4)	? H magnitude from VISTA	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.4)	? Ks magnitude from VISTA	[ucd=phot.mag;em.IR.K]
#Column	Class	(A4)	YSO classification (9)	[ucd=meta.code.class]
#Column	ClassFlag	(I1)	[1/4] Flag to distinguish between candidates (10)	[ucd=meta.code]
#Column	SimbadName	(a24)	Simbad column added by the CDS	[ucd=meta.id]
RAJ2000	DEJ2000	Otype	Jmag	Hmag	Ksmag	Class	ClassFlag	SimbadName
05 35 35.318	-04 44 20.195	pMS*                  	14.0610	13.4450	13.1550	AD  	1	[MGM2012] 2673
05 35 35.392	-05 08 46.784	Orion_V*              	14.2200	13.3700	12.8860	D   	1	[MGM2012] 2314
05 35 35.505	-04 31 15.582	pMS*                  	15.8130	15.2530	14.8610	D   	1	[MGM2012] 2750
05 35 35.517	-05 58 19.019	Orion_V*              	13.6250	12.6980	12.3710	D   	1	[MGM2012] 1095
05 35 35.534	-04 25 23.137	pMS*                  	13.7020	13.1190	12.8060	D   	1	[MGM2012] 2769
05 35 35.604	-05 15 43.210	Orion_V*              	11.7910	10.9540	10.5600	D   	1	[MGM2012] 2179
05 35 35.602	-05 39 08.016	Orion_V*              	14.3770	12.9670	12.2350	D   	1	[MGM2012] 1336
05 35 35.945	-05 21 11.504	Star                  	18.8400	16.1080	14.8100	D   	2	2MASS J05353594-0521116
05 35 35.951	-05 38 42.550	Orion_V*              	12.9070	12.2520	11.9180	D   	1	[MGM2012] 1340
05 35 36.009	-05 12 25.289	Orion_V*              	10.5980	 9.3860	 8.3890	D   	1	[MGM2012] 2250
05 35 38.119	-05 28 33.567	pMS*                  	13.7760	12.9630	12.5430	D   	1	[MGM2012] 1604
05 35 36.199	-05 04 55.977	Orion_V*              	13.3210	11.6710	10.9950	D   	1	[MGM2012] 2383
05 35 36.216	-05 20 20.416	Orion_V*              	14.3900	12.2900	11.4770	D   	1	[MGM2012] 1995
05 35 36.353	-05 31 37.847	Orion_V*              	12.5030	11.6720	11.0820	D   	1	[MGM2012] 1506
05 35 36.420	-05 01 15.549	Orion_V*              	10.3120	 9.5730	 9.1330	D   	1	[MGM2012] 2436
05 35 36.429	-04 16 19.917	Orion_V*              	12.9540	12.2400	11.7510	TD  	1	[MGM2012] 2796
05 35 36.440	-05 34 11.128	Orion_V*              	11.7850	10.8830	10.4080	D   	1	[MGM2012] 1441
05 35 36.666	-05 23 28.184	Orion_V*              	16.4390	13.4580	11.8040	D   	1	[MGM2012] 1835
05 35 36.631	-06 38 33.587	pMS*                  	17.7810	16.5780	15.6220	G   	3	[MGM2012] 822
05 35 36.684	-05 04 14.487	Orion_V*              	11.8290	11.2510	10.7650	D   	1	[MGM2012] 2399
05 35 36.723	-05 10 00.402	Orion_V*              	13.2850	12.4060	11.8940	D   	1	[MGM2012] 2290
05 35 36.841	-05 19 48.064	pMS*                  	16.8540	15.1720	14.1600	D   	1	[MGM2012] 2022
05 35 36.918	-05 43 17.185	pMS*                  	14.5620	13.9780	13.6860	AD  	1	[MGM2012] 1266
05 35 37.080	-06 18 24.076	pMS*                  	15.1690	14.6650	14.2500	D   	1	[MGM2012] 976
05 35 37.160	-05 10 29.506	Orion_V*              	12.4900	11.7760	11.5320	AD  	2	V* V1569 Ori
05 35 37.196	-06 02 30.198	pMS*                  	18.3480	17.4790	15.4110	fuzz	3	[MGM2012] 1068
05 35 37.333	-06 23 26.375	pMS*                  	12.5240	11.8750	11.5610	TD  	1	[MGM2012] 920
05 35 37.327	-05 02 36.268	Orion_V*              	15.4730	13.4220	12.2370	D   	1	WISE J053537.33-050236.4
05 35 37.341	-06 21 19.142	pMS*                  	13.1620	12.5000	12.1780	D   	1	[MGM2012] 957
05 35 37.304	-05 31 56.939	pMS*                  	       	       	18.2100	fuzz	3	[MGM2012] 1497
05 35 37.470	-05 51 28.097	Orion_V*              	13.4200	12.5800	12.3430	D   	1	[MGM2012] 1168
05 35 37.485	-06 02 30.892	pMS*                  	18.7900	17.9220	16.1070	fuzz	3	[MGM2012] 1067
05 35 37.682	-05 06 32.006	Orion_V*              	13.0000	12.1830	11.8850	AD  	2	V* V362 Ori
05 35 37.936	-04 26 08.630	Orion_V*              	13.9450	12.9120	12.6650	AD  	2	V* V2557 Ori
05 35 38.346	-05 28 34.630	pMS*                  	12.9240	12.0290	11.7040	D   	1	VISION J05353835-0528346
05 35 38.434	-05 52 45.619	pMS*                  	14.6010	14.0110	13.7130	D   	1	[MGM2012] 1157
05 35 38.504	-05 04 51.539	pMS*                  	16.3760	13.7250	12.3100	D   	1	[MGM2012] 2388
05 35 38.489	-04 38 32.150	Orion_V*              	13.5500	12.8140	12.3930	TD  	1	[MGM2012] 2718
05 35 38.490	-05 57 29.796	pMS*                  	18.9100	16.5190	15.2940	AD  	1	[MGM2012] 1104
05 35 38.528	-04 59 41.135	Orion_V*              	12.0380	10.8740	10.3480	D   	1	[MGM2012] 2460
05 35 38.560	-05 08 03.315	pMS*                  	16.1520	13.4200	12.0270	D   	1	[MGM2012] 2329
05 35 38.591	-06 23 43.086	pMS*                  	13.3770	12.7210	12.4780	TD  	1	[MGM2012] 913
05 35 38.597	-05 27 36.910	Irregular_V*          	14.2100	13.2290	12.9110	AD  	1	[MGM2012] 1642
05 35 38.726	-05 16 59.135	Orion_V*              	13.2920	12.4160	11.5940	D   	1	[MGM2012] 2139
05 35 38.856	-05 12 41.943	Orion_V*              	10.7000	 9.5130	 8.8220	D   	1	[MGM2012] 2246
05 35 39.068	-04 17 43.682	Orion_V*              	14.3570	13.7630	13.4150	D   	1	[MGM2012] 2790
05 35 39.140	-05 58 06.525	pMS*                  	13.6940	13.0970	12.8020	D   	1	[MGM2012] 1097
05 35 39.358	-07 20 38.200	Orion_V*              	13.7700	13.1180	12.8020	D   	1	[MGM2012] 589
05 35 39.532	-05 10 37.093	pMS*                  	       	       	       	fuzz	3	[MGM2012] 2278
05 35 39.765	-04 40 24.264	pMS*                  	11.5570	10.6830	10.3320	D   	1	[MGM2012] 2704
05 35 39.791	-05 24 50.833	pMS*                  	17.5130	15.2900	14.0560	D   	1	[MGM2012] 1757
05 35 39.922	-05 59 13.615	pMS*                  	17.8190	15.4400	14.2420	AD  	1	[MGM2012] 1087
05 35 39.950	-04 21 02.156	pMS*                  	13.7300	13.1100	12.8080	D   	1	[MGM2012] 2780
05 35 39.954	-05 06 36.802	Orion_V*              	12.6590	11.4130	10.8010	D   	1	[MGM2012] 2353
05 35 39.988	-05 22 26.737	Orion_V*              	15.0770	13.6690	12.8860	D   	1	[MGM2012] 1899
05 35 40.022	-04 45 55.353	Orion_V*              	11.4740	10.7700	10.4220	D   	1	[MGM2012] 2658
05 35 40.013	-05 02 36.960	pMS*                  	14.1620	13.5130	13.1930	AD  	1	[MGM2012] 2417
05 35 40.033	-05 11 38.230	Irregular_V*          	16.5960	15.4010	14.8330	AD  	1	[MGM2012] 2264
05 35 40.400	-04 55 43.958	Orion_V*              	13.2450	12.4560	12.1090	TD  	1	[MGM2012] 2508
05 35 40.495	-04 52 26.043	pMS*                  	12.8580	11.9910	11.6100	D   	1	[MGM2012] 2557
05 35 40.520	-04 59 12.834	pMS*                  	15.7690	15.1620	14.7590	AD  	1	[MGM2012] 2465
05 35 40.552	-04 35 18.963	Orion_V*              	12.3020	11.2440	10.6490	D   	1	[MGM2012] 2732
05 35 40.605	-05 22 32.161	Irregular_V*          	15.2490	13.6050	12.6550	AD  	1	[MGM2012] 1894
05 35 40.625	-05 19 02.982	IR                    	18.1790	15.8080	14.3930	AD  	2	2MASS J05354062-0519029
05 35 40.760	-05 12 47.932	Orion_V*              	13.4820	12.2680	11.6770	D   	1	[MGM2012] 2244
05 35 40.769	-05 11 11.895	pMS*                  	13.7730	13.0570	12.7350	D   	1	[MGM2012] 2272
05 35 40.811	-05 21 41.810	Orion_V*              	14.3210	11.9470	10.7770	AD  	1	[MGM2012] 1928
05 35 40.904	-05 22 02.349	Orion_V*              	14.5770	13.3320	12.2510	D   	1	[MGM2012] 1911
05 35 40.916	-05 19 43.121	pMS*                  	18.5010	15.2460	13.4990	D   	1	[MGM2012] 2030
05 35 40.929	-04 34 38.459	Orion_V*              	12.8890	11.3290	10.2670	D   	1	[MGM2012] 2735
05 35 41.022	-06 22 45.375	Orion_V*              	10.9120	10.0730	 9.6970	D   	1	[MGM2012] 930
05 35 41.124	-05 35 34.131	pMS*                  	14.9870	14.3610	13.8780	D   	1	[MGM2012] 1410
05 35 41.148	-04 20 35.363	pMS*                  	15.0070	14.4170	14.0110	D   	1	[MGM2012] 2783
05 35 41.231	-05 38 29.347	pMS*                  	13.4420	12.7020	12.3120	D   	1	[MGM2012] 1348
05 35 41.302	-05 38 32.823	pMS*                  	13.2400	12.4730	12.1160	D   	1	[MGM2012] 1345
05 35 41.297	-05 03 52.299	X                     	14.3060	12.9850	12.5100	AD  	2	2MASS J05354130-0503522
05 35 41.318	-05 27 50.360	Orion_V*              	12.5000	11.6800	11.1980	D   	1	[MGM2012] 1633
05 35 41.378	-05 19 56.427	Irregular_V*          	15.6240	14.9140	14.4980	D   	1	[MGM2012] 2014
05 35 41.697	-05 20 14.906	pMS*                  	       	       	15.7930	D   	1	[MGM2012] 2000
05 35 41.744	-05 05 19.868	X                     	15.5880	13.8250	12.9070	AD  	2	2MASS J05354174-0505199
05 35 41.975	-05 28 12.788	Orion_V*              	 9.3570	 8.8410	 8.6340	D   	1	[MGM2012] 1617
05 35 42.012	-05 10 11.488	Orion_V*              	11.6000	10.1460	 9.4690	D   	1	[MGM2012] 2286
05 35 42.098	-06 16 20.781	pMS*                  	15.2850	14.5870	14.0650	AD  	1	[MGM2012] 986
05 35 42.215	-06 11 43.687	pMS*                  	14.3480	13.7570	13.4820	D   	1	[MGM2012] 1014
05 35 42.293	-05 15 08.008	Orion_V*              	13.2080	12.1430	11.3060	D   	1	[MGM2012] 2194
05 35 42.409	-04 42 57.055	Orion_V*              	15.7590	14.7290	14.1000	F   	1	[MGM2012] 2690
05 35 42.475	-05 27 33.018	Orion_V*              	11.3920	10.5660	10.1220	AD  	1	VISION J05354247-0527330
05 35 42.590	-05 26 10.752	Irregular_V*          	14.1090	13.3040	12.0290	D   	2	[DRS2009] 1782
05 35 42.616	-05 26 33.656	Orion_V*              	14.6760	13.9620	13.4960	D   	1	[MGM2012] 1677
05 35 42.706	-05 40 35.328	pMS*                  	14.9600	14.3670	14.0670	D   	1	[MGM2012] 1314
05 35 42.685	-05 10 16.377	Irregular_V*          	14.8150	14.1430	13.7430	D   	1	[MGM2012] 2283
05 35 42.751	-05 19 45.450	Orion_V*              	15.7650	14.0550	11.6850	D   	1	[MGM2012] 2025
05 35 42.762	-06 34 51.837	Orion_V*              	12.3690	11.5790	11.1610	D   	1	[MGM2012] 840
05 35 42.838	-06 21 44.604	Orion_V*              	12.9820	12.1180	11.8420	D   	1	[MGM2012] 952
05 35 42.951	-04 31 57.196	Candidate_YSO         	17.6500	16.7740	15.8890	UG  	4	[MGM2012] 2749
05 35 42.998	-05 23 02.406	Orion_V*              	12.9560	11.9500	11.3900	D   	1	[MGM2012] 1863
05 35 43.021	-04 47 00.288	pMS*                  	13.2400	12.4590	12.1580	D   	1	[MGM2012] 2644
05 35 43.058	-05 03 07.479	Orion_V*              	13.3610	12.6780	12.3810	D   	1	[MGM2012] 2410
05 35 43.111	-04 24 55.677	Orion_V*              	11.0460	10.2710	 9.7910	D   	1	[MGM2012] 2771
05 35 43.197	-05 25 16.174	pMS*                  	16.3160	14.4860	13.4460	D   	1	[MGM2012] 1735
05 35 43.372	-06 22 19.566	Orion_V*              	12.1020	11.2080	10.6690	D   	1	[MGM2012] 941
05 35 43.396	-05 32 44.084	Flare*                	12.0570	11.2900	11.0040	D   	1	[MGM2012] 1484
05 35 43.490	-05 24 42.866	pMS*                  	17.2710	15.1000	13.9980	D   	1	[MGM2012] 1761
05 35 43.544	-05 08 49.433	Orion_V*              	15.9820	14.9900	14.0900	D   	1	[MGM2012] 2313
05 35 43.554	-05 05 41.445	Orion_V*              	12.1040	11.0160	10.2610	D   	1	[MGM2012] 2370
05 35 43.610	-05 20 51.392	pMS*                  	17.8830	14.8050	13.1790	AD  	1	[MGM2012] 1974
05 35 43.596	-05 32 11.748	pMS*                  	13.7110	12.9510	12.5700	D   	1	[MGM2012] 1492
05 35 43.679	-04 24 54.809	pMS*                  	14.2710	13.6840	13.3470	AD  	1	[MGM2012] 2772
05 35 43.796	-05 09 58.824	pMS*                  	13.6720	13.0170	12.7130	D   	1	[MGM2012] 2291
05 35 43.825	-05 33 41.184	YSO                   	       	       	       	fuzz	3	[MGM2012] 1453
05 35 43.948	-06 08 28.583	pMS*                  	       	       	17.3760	D   	1	[MGM2012] 1034
05 35 44.054	-04 56 18.532	IR                    	15.4280	14.5210	13.8960	AD  	2	2MASS J05354405-0456185
05 35 44.043	-04 16 02.096	pMS*                  	14.1090	13.5150	13.1990	D   	1	[MGM2012] 2797
05 35 44.088	-05 08 37.572	Orion_V*              	14.1640	13.2560	12.7290	D   	1	[MGM2012] 2318
05 35 44.128	-06 09 30.711	pMS*                  	16.1700	15.5070	14.7930	D   	1	[MGM2012] 1030
05 35 44.131	-04 48 04.812	Orion_V*              	12.0580	11.2020	10.7160	TD  	1	[MGM2012] 2632
05 35 44.181	-06 28 16.298	pMS*                  	14.2210	13.5950	13.2770	D   	1	[MGM2012] 871
05 35 44.168	-05 36 39.772	pMS*                  	12.4150	11.7780	11.4130	D   	1	[MGM2012] 1385
05 35 44.508	-04 44 15.892	Orion_V*              	12.3550	11.6280	11.4480	TD  	1	[MGM2012] 2676
05 35 44.596	-04 59 57.686	pMS*                  	14.8450	14.2280	13.9030	AD  	1	[MGM2012] 2454
05 35 44.792	-04 17 18.961	pMS*                  	14.7630	14.1640	13.7480	D   	1	[MGM2012] 2791
05 35 44.844	-05 24 34.462	Orion_V*              	11.9670	11.1550	10.7220	D   	1	VISION J05354484-0524345
05 35 44.859	-05 07 17.003	Orion_V*              	 9.9920	 9.2870	 8.9140	D   	1	[MGM2012] 2343
05 35 45.077	-05 13 55.601	Irregular_V*          	17.6270	15.7060	14.9650	D   	1	[MGM2012] 2221
05 35 45.096	-04 26 36.174	pMS*                  	14.0850	13.4620	13.1220	D   	1	[MGM2012] 2765
05 35 45.302	-05 19 08.650	pMS*                  	15.3260	13.7370	12.8640	D   	1	[MGM2012] 2052
05 35 45.378	-05 28 10.772	Orion_V*              	11.7300	10.8480	10.3660	D   	1	VISION J05354538-0528108
05 35 45.606	-05 15 35.621	pMS*                  	       	       	       	fuzz	3	[MGM2012] 2185
05 35 45.628	-05 13 36.122	Irregular_V*          	13.3330	12.2660	11.7510	D   	1	[MGM2012] 2230
05 35 45.930	-06 25 59.127	Orion_V*              	11.9950	10.5070	 9.6740	D   	1	[MGM2012] 887
05 35 46.122	-05 10 51.758	Flare*                	11.7290	10.8900	10.4270	D   	1	[MGM2012] 2276
05 35 46.234	-05 18 08.499	Orion_V*              	12.1860	11.4090	10.8600	D   	1	[MGM2012] 2095
05 35 46.243	-05 15 39.819	Orion_V*              	12.5660	11.3790	10.7220	AD  	1	[MGM2012] 2181
05 35 46.387	-04 39 04.042	pMS*                  	15.6370	14.5300	13.9270	AD  	1	[MGM2012] 2714
05 35 46.612	-05 22 24.297	pMS*                  	12.4630	11.8400	11.5730	AD  	1	[MGM2012] 1902
05 35 46.692	-05 49 26.266	Orion_V*              	11.5590	10.7920	10.4310	D   	1	[MGM2012] 1188
05 35 46.889	-05 26 27.367	Orion_V*              	15.4960	13.8990	13.0830	AD  	1	[MGM2012] 1684
05 35 47.005	-05 16 14.275	Irregular_V*          	15.5140	14.7560	14.3030	AD  	1	[MGM2012] 2163
05 35 47.067	-06 11 45.177	Orion_V*              	13.8980	13.3270	13.0110	TD  	1	[MGM2012] 1013
05 35 47.321	-06 26 14.667	YSO                   	18.6980	16.7330	15.1000	I   	1	HOPS 186
05 35 47.418	-05 10 28.444	Orion_V*              	11.3820	10.3970	 9.7660	D   	1	[MGM2012] 2281
05 35 47.644	-06 21 36.050	Orion_V*              	12.5780	11.9080	11.3910	D   	1	[MGM2012] 954
05 35 47.647	-05 19 14.505	Orion_V*              	12.9690	11.7350	11.0020	D   	1	[MGM2012] 2048
05 35 47.647	-05 37 38.794	Orion_V*              	12.9640	11.9320	11.3010	D   	1	[MGM2012] 1362
05 35 47.864	-07 18 51.890	                      	16.0050	15.6090	14.9260	AD  	2	VISION J05354786-0718519
05 35 47.907	-05 19 46.900	Star                  	18.2570	15.7900	14.3750	D   	2	2MASS J05354792-0519468
05 35 48.141	-03 32 47.893	                      	14.2420	13.5920	13.3210	TD  	2	VISION J05354814-0332479
05 35 48.070	-04 50 20.388	pMS*                  	13.2750	12.6410	12.3610	D   	1	[MGM2012] 2588
05 35 48.134	-05 53 57.342	Flare*                	12.8230	11.6190	11.0030	D   	1	[MGM2012] 1148
05 35 48.213	-04 13 11.530	pMS*                  	14.5420	14.0570	13.7150	D   	1	[MGM2012] 2800
05 35 48.305	-05 50 11.270	pMS*                  	13.2230	12.5140	12.2450	D   	1	[MGM2012] 1182
05 35 48.382	-05 01 28.772	Orion_V*              	12.1500	11.1370	10.5260	D   	1	[MGM2012] 2434
05 35 48.493	-04 19 42.538	pMS*                  	15.1720	14.6370	14.2960	D   	1	[MGM2012] 2786
05 35 48.523	-05 56 23.133	Orion_V*              	13.2930	12.4400	11.8910	D   	1	[MGM2012] 1117
05 35 48.865	-06 12 07.844	Orion_V*              	11.0940	10.3160	 9.9630	D   	1	[MGM2012] 1011
05 35 48.983	-05 01 39.410	Orion_V*              	12.5670	11.8260	11.4960	D   	1	[MGM2012] 2428
05 35 49.030	-04 53 50.032	Orion_V*              	14.5170	13.8810	13.5690	D   	1	[MGM2012] 2534
05 35 49.218	-05 59 03.452	                      	19.4960	17.9080	16.4130	UG  	4	HOPS 9
05 35 49.375	-05 29 39.563	Flare*                	17.7580	14.7250	13.5260	D   	1	[MGM2012] 1568
05 35 49.460	-03 32 51.802	Orion_V*              	12.6430	11.9970	11.7580	D   	2	V* V2604 Ori
05 35 49.859	-04 46 32.318	pMS*                  	12.4900	11.8280	11.4570	D   	1	[MGM2012] 2652
05 35 49.874	-05 18 30.880	Orion_V*              	12.7630	11.5900	10.8430	D   	1	[MGM2012] 2080
05 35 50.019	-06 34 53.330	YSO                   	19.4050	17.2090	15.3480	I   	1	HOPS 177
05 35 50.037	-05 17 18.122	Orion_V*              	15.8400	14.5100	13.7170	D   	1	[MGM2012] 2124
05 35 50.179	-05 21 16.914	Orion_V*              	13.1710	12.3220	11.8520	D   	1	[MGM2012] 1955
05 35 50.190	-06 50 40.199	Orion_V*              	12.3610	11.8230	10.8620	D   	1	[MGM2012] 754
05 35 50.201	-05 26 04.842	pMS*                  	15.9610	14.7060	13.9620	AD  	1	[MGM2012] 1698
05 35 50.438	-05 28 34.917	Ae*                   	 8.2710	 7.2360	 6.2160	D   	1	[MGM2012] 1600
05 35 50.472	-05 51 42.188	Orion_V*              	11.2630	10.5230	10.1420	TD  	1	WISE J053550.47-055142.3
05 35 50.534	-04 19 34.275	pMS*                  	16.0600	15.4390	15.0320	D   	1	[MGM2012] 2787
05 35 50.589	-05 27 47.128	pMS*                  	17.8080	15.2500	13.7160	D   	1	[MGM2012] 1635
05 35 50.671	-05 14 59.193	Irregular_V*          	17.0860	15.6230	14.5790	F   	1	[MGM2012] 2197
05 35 50.667	-04 40 36.965	Orion_V*              	13.6720	12.5710	11.9600	D   	1	[MGM2012] 2703
05 35 50.668	-05 27 54.110	Orion_V*              	17.9820	15.1380	13.4210	D   	1	[MGM2012] 1629
05 35 50.772	-05 16 29.157	Flare*                	11.3610	10.4780	10.0560	D   	1	[MGM2012] 2158
05 35 50.883	-04 43 23.079	Orion_V*              	13.8710	12.9620	12.8020	D   	1	[MGM2012] 2686
05 35 50.954	-06 22 43.625	Orion_V*              	12.6300	11.8810	11.4620	TD  	1	HOPS 187
05 35 51.096	-05 07 08.874	Flare*                	10.9790	10.1970	 9.8700	D   	1	[MGM2012] 2346
05 35 51.181	-04 56 27.693	Orion_V*              	13.3460	12.0020	11.2200	D   	1	[MGM2012] 2498
05 35 51.320	-06 13 53.290	Orion_V*              	13.2970	12.5860	12.2350	D   	1	[MGM2012] 1003
05 35 52.020	-06 10 01.664	Flare*                	 9.7250	 8.6170	 8.0050	F   	1	HOPS 194
05 35 52.101	-04 49 15.087	Orion_V*              	13.7550	13.0230	12.5600	D   	1	[MGM2012] 2608
05 35 52.253	-04 43 04.850	Orion_V*              	11.8560	11.0630	10.8450	TD  	1	[MGM2012] 2687
05 35 52.328	-05 12 56.967	Orion_V*              	12.9150	12.2710	12.0020	AD  	1	[MGM2012] 2242
05 35 52.486	-05 29 41.760	pMS*                  	15.8790	14.0670	13.0570	AD  	1	[MGM2012] 1564
05 35 52.630	-05 05 05.650	Orion_V*              	 9.7260	 9.1060	 8.7490	D   	1	[MGM2012] 2379
05 35 52.617	-06 11 11.580	pMS*                  	16.1910	15.5620	15.1520	D   	1	[MGM2012] 1018
05 35 52.759	-05 12 58.989	Orion_V*              	11.5070	10.7040	10.3180	D   	1	[MGM2012] 2241
05 35 52.899	-05 25 43.914	Orion_V*              	15.1840	13.8790	13.2430	D   	1	[MGM2012] 1716
05 35 52.901	-04 08 07.335	pMS*                  	13.1240	12.4710	12.2060	TD  	1	[MGM2012] 2805
05 35 53.100	-05 30 10.518	pMS*                  	15.5560	14.9370	14.6530	AD  	1	[MGM2012] 1552
05 35 53.535	-05 20 27.344	Orion_V*              	16.8820	15.6330	14.8700	D   	1	[MGM2012] 1990
05 35 53.704	-06 30 54.638	pMS*                  	14.8370	14.2540	13.9970	D   	1	[MGM2012] 858
05 35 53.714	-04 57 56.455	pMS*                  	14.4910	13.9120	13.5730	AD  	1	[MGM2012] 2478
05 35 53.934	-05 28 18.917	pMS*                  	15.4410	14.0140	13.1810	AD  	1	[MGM2012] 1612
05 35 53.951	-05 27 38.080	pMS*                  	14.6980	14.1260	13.7490	D   	1	[MGM2012] 1639
05 35 54.056	-04 47 19.344	Orion_V*              	12.3900	11.5730	11.0390	D   	1	[MGM2012] 2639
05 35 54.055	-05 04 14.746	Orion_V*              	10.8750	10.3260	 9.8270	D   	1	[MGM2012] 2400
05 35 54.083	-05 37 42.304	Be*                   	 7.1450	 7.2040	 7.1310	AD  	1	WISE J053554.08-053742.3
05 35 54.154	-05 17 10.414	Orion_V*              	13.6650	12.8260	12.2670	D   	1	[MGM2012] 2131
05 35 54.295	-06 23 19.842	pMS*                  	15.4850	14.9330	14.5810	D   	1	[MGM2012] 923
05 35 54.333	-05 26 44.465	Orion_V*              	11.9640	11.0550	10.4080	D   	1	[MGM2012] 1668
05 35 54.327	-06 11 19.297	pMS*                  	16.4870	15.8950	15.4440	D   	1	[MGM2012] 1017
05 35 54.418	-04 01 44.442	pMS*                  	13.7330	13.0720	12.8260	TD  	1	[MGM2012] 2814
05 35 54.626	-05 27 07.541	Flare*                	12.2810	11.6190	11.3870	AD  	2	V* OX Ori
05 35 54.763	-04 58 20.007	Orion_V*              	14.4960	13.4180	12.6080	F   	1	[MGM2012] 2477
05 35 55.006	-05 54 20.882	pMS*                  	14.5880	13.6500	13.0900	D   	1	[MGM2012] 1146
05 35 55.375	-05 47 02.427	pMS*                  	12.9860	12.7850	12.5520	D   	1	[MGM2012] 1209
05 35 55.743	-05 49 29.385	Orion_V*              	13.1010	12.2920	12.1010	D   	1	[MGM2012] 1187
05 35 55.743	-05 04 37.658	YSO                   	17.2100	15.6880	14.4710	F   	1	HOPS 83
05 35 56.092	-05 25 33.073	pMS*                  	15.3850	13.6420	12.7420	AD  	1	[MGM2012] 1724
05 35 56.466	-05 32 57.550	pMS*                  	17.6480	15.4120	14.3310	AD  	1	[MGM2012] 1476
05 35 56.515	-06 24 12.154	YSO                   	16.1960	15.5460	15.1100	D   	1	[MGM2012] 906
05 35 56.569	-06 11 30.532	pMS*                  	17.6630	16.1910	15.1960	D   	1	[MGM2012] 1015
05 35 56.602	-05 35 11.326	Orion_V*              	14.9150	13.1930	12.3040	D   	1	[MGM2012] 1418
05 35 56.767	-05 19 57.892	pMS*                  	13.5520	12.8520	12.3950	D   	1	[MGM2012] 2011
05 35 56.901	-05 45 19.094	Orion_V*              	12.5720	11.4460	10.8230	D   	1	[MGM2012] 1230
05 35 56.963	-06 29 38.104	Orion_V*              	12.6320	11.8720	11.3650	D   	1	[MGM2012] 865
05 35 57.004	-04 51 08.492	Orion_V*              	14.5610	13.9320	13.6290	D   	1	[MGM2012] 2575
05 35 57.299	-06 40 28.039	Flare*                	12.8590	12.1630	11.7900	D   	1	[MGM2012] 813
05 35 57.306	-06 15 37.706	Flare*                	12.6190	11.9000	11.4510	D   	1	[MGM2012] 990
05 35 57.318	-08 13 46.374	                      	14.7940	14.1980	13.8400	D   	2	VISION J05355732-0813464
05 35 57.450	-06 42 41.846	Orion_V*              	10.9580	10.1360	 9.6510	D   	1	[MGM2012] 800
05 35 57.649	-05 57 18.330	Orion_V*              	12.1020	11.3640	10.8270	D   	1	[MGM2012] 1105
05 35 57.715	-05 23 09.250	Flare*                	12.1410	11.4840	11.0940	AD  	1	[MGM2012] 1854
05 35 57.846	-06 23 44.415	pMS*                  	12.8390	12.7810	12.5460	D   	1	WISE J053557.84-062344.5
05 35 58.100	-05 11 43.033	pMS*                  	16.4910	15.3900	14.7150	G   	3	[MGM2012] 2262
