#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-24T21:31:22 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-24T21:31:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/872/158/table4&-order=I&-out=ALMA&-out=2MASS&-out=Role&-out=Sample&-out=binsep&-out=r_binsep&-out=l_F1.3mm&-out=F1.3mm&-out=e_F1.3mm&-out=r_F1.3mm&-out=SpT&-out=r_SpT&-out=logMstar&-out=e_logMstar&-out=E_logMstar&-out=logLstar&-out=e_logLstar&-out=E_logLstar&-out=l_logMdisk&-out=logMdisk&-out=e_logMdisk&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L10&-out=Simbad&Simbad=Simbad&-out=_RA&-out=_DE&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18720158
#Name: J/ApJ/872/158
#Title: Survey of Class II sources in Taurus with ALMA (Akeson+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/872/158	    IVOID of underlying data collection
#INFO	creator=Akeson R.L.	    First author or institution
#INFO	cites=bibcode:2019ApJ...872..158A	    Article or Data origin sources
#INFO	editor=Astrophysical Journal (AAS)	    Editor name (article)
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/872/158	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18720158	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-01-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJ_872_158_table4:
#Name: J/ApJ/872/158/table4
#Title: Taurus disk and stellar properties
#Column	ALMA	(A1)	Display the ALMA data for this source (link to Table 2)	[ucd=meta.ref.url]
#Column	2MASS	(A17)	2MASS designation (JHHMMSSss+DDMMSSs)	[ucd=meta.id;meta.main]
#Column	Role	(I2)	[-9/4]? Role (1)	[ucd=meta.code]
#Column	Sample	(A1)	[YN] In sample?	[ucd=meta.code]
#Column	binsep	(F6.3)	[0.1/17.2]? Binary separation	[ucd=pos.angDistance;src.orbital]
#Column	r_binsep	(I1)	? Binary separation reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	l_F1.3mm	(A1)	Limit on Flux	[ucd=meta.code.error]
#Column	F1.3mm	(F6.2)	[0.16/344.2] Flux at 1.3mm	[ucd=phot.flux.density;em.mm.200-400GHz]
#Column	e_F1.3mm	(F5.2)	[0.07/17.8]? Uncertainty in F1.3mm	[ucd=stat.error]
#Column	r_F1.3mm	(I2)	F1.3mm reference (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpT	(a9)	Spectral Type	[ucd=src.spType]
#Column	r_SpT	(a5)	Spectral Type Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	logMstar	(F5.2)	[-1.77/0.54] Log of stellar mass	[ucd=phys.mass]
#Column	e_logMstar	(F5.2)	[0.01/0.38] Lower uncertainty in logMstar	[ucd=stat.error]
#Column	E_logMstar	(F5.2)	[0.0/0.38] Upper uncertainty in logMstar	[ucd=stat.error;stat.max]
#Column	logLstar	(F5.2)	[-2.35/1.72] Log of stellar luminosity	[ucd=phys.luminosity;em.radio]
#Column	e_logLstar	(F5.2)	[0.01/0.65] Lower uncertainty in logLstar	[ucd=stat.error]
#Column	E_logLstar	(F5.2)	[0.01/0.65] Upper uncertainty in logLstar	[ucd=stat.error;stat.max]
#Column	l_logMdisk	(A1)	Limit flag on logMdisk	[ucd=meta.code.error]
#Column	logMdisk	(F5.2)	[-4.59/-0.93] Log of disk mass	[ucd=phys.mass]
#Column	e_logMdisk	(F5.2)	[0.08/0.27]? Uncertainty in logMdisk	[ucd=stat.error]
#Column	Dist	(F6.2)	[115.12/873.64] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F6.2)	[0.05/346.2] Uncertainty in Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/8]? Distance flag (2)	[ucd=meta.code]
#Column	L10	(I3)	Display data from Luhman+, 2010, J/ApJS/186/111 within 1"	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
ALMA	2MASS	Role	Sample	binsep	r_binsep	l_F1.3mm	F1.3mm	e_F1.3mm	r_F1.3mm	SpT	r_SpT	logMstar	e_logMstar	E_logMstar	logLstar	e_logLstar	E_logLstar	l_logMdisk	logMdisk	e_logMdisk	Dist	e_Dist	f_Dist	L10	Simbad	_RA	_DE
*	J04411078+2555116	 0	Y	      	 	 	  0.70	 0.12	 7	M5.5     	13   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	 	-3.78	 0.14	156.54	  6.29	 	  1	Simbad	070.29494	+25.91987
 	J04411681+2840000	-1	N	      	 	 	  3.40	 1.90	 8	M1.1/2.5 	8    	-0.06	 0.09	 0.10	-0.04	 0.14	 0.13	 	-3.50	 0.22	138.80	 18.70	3	  1	Simbad	070.32004	+28.66669
*	J04412464+2543530	-9	N	      	 	 	  1.00	 0.12	 7	M3.5     	24   	-0.62	 0.20	 0.14	-0.59	 0.26	 0.16	 	-3.90	 0.10	138.77	  1.19	2	  1	Simbad	070.35268	+25.73140
 	J04413882+2556267	 0	Y	      	 	 	 25.50	 2.20	 8	M0       	40   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-2.61	 0.09	139.22	  1.28	2	  1	Simbad	070.41179	+25.94074
*	J04414489+2301513	 0	N	      	 	<	  0.38	     	 7	M8.5     	17   	-1.67	 0.13	 0.17	-2.20	 0.19	 0.25	<	-4.03	     	120.45	  5.54	 	  1	Simbad	070.43707	+23.03095
 	J04414825+2534304	 0	N	      	 	 	  1.34	 0.09	11	M7.75    	13   	-1.55	 0.15	 0.17	-2.02	 0.24	 0.24	 	-3.43	 0.10	135.81	  3.75	 	  1	Simbad	070.45105	+25.57516
*	J04420777+2523118	 1	Y	 0.320	1	 	  2.20	 0.17	 7	K7       	16   	-0.19	 0.01	 0.04	-0.02	 0.01	 0.07	 	-3.68	 0.08	142.25	  2.38	2	  1	Simbad	070.53247	+25.38662
*	J04420777+2523118	 2	Y	 0.320	1	 	  0.86	 0.14	 7	M2.5     	16   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-3.98	 0.10	142.25	  2.38	2	  1	Simbad	070.53247	+25.38662
 	J04422101+2520343	 0	Y	      	 	 	 14.50	 7.20	 8	M5.1     	14   	-0.94	 0.28	 0.20	-1.07	 0.45	 0.37	 	-2.63	 0.20	135.70	  2.28	 	  1	Simbad	070.58759	+25.34286
*	J04423769+2515374	 1	Y	 0.110	5	 	  2.10	 0.23	 7	M0.8     	14   	-0.33	 0.10	 0.09	-0.22	 0.14	 0.12	 	-3.65	 0.09	142.08	  1.87	2	  1	Simbad	070.65708	+25.26028
*	J04423769+2515374	 2	Y	 0.110	5	 	  1.50	 0.21	 7	M2       	8    	-0.44	 0.10	 0.09	-0.38	 0.12	 0.13	 	-3.75	 0.10	142.08	  1.87	2	  1	Simbad	070.65708	+25.26028
 	J04430309+2520187	 0	Y	      	 	 	 53.20	 2.80	 8	M2.3     	14   	-0.46	 0.12	 0.09	-0.41	 0.14	 0.12	 	-2.18	 0.09	143.98	  1.00	 	  1	Simbad	070.76282	+25.33853
*	J04432023+2940060	 0	Y	      	 	<	  0.38	     	 7	M5.5     	14   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	<	-3.98	     	170.46	  3.65	 	  1	Simbad	070.83427	+29.66835
 	J04442713+2512164	 0	N	      	 	 	  4.90	 0.40	 8	M7.25    	13   	-1.45	 0.18	 0.20	-1.89	 0.26	 0.32	 	-2.87	 0.11	140.53	  2.71	 	  1	Simbad	071.11309	+25.20457
 	J04455134+1555367	-9	N	      	 	 	 51.00	 2.00	 8	M2.5     	35   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-2.18	 0.09	147.38	  1.25	 	  1	Simbad	071.46396	+15.92685
 	J04465305+1700001	-1	N	      	 	 	 69.30	 4.70	 8	M0/0     	41   	 0.05	 0.10	 0.04	 0.19	 0.14	 0.06	 	-1.95	 0.09	196.36	  2.01	 	  1	Simbad	071.72107	+17.00004
*	J04465897+1702381	 1	N	      	 	 	  2.10	 0.34	 7	K8.0     	14   	-0.20	 0.01	 0.01	-0.03	 0.01	 0.01	 	-3.42	 0.10	195.65	  0.86	2	  2	Simbad	071.74575	+17.04394
*	J04465897+1702381	 2	N	      	 	<	  0.96	     	 7	M0.9     	14   	-0.34	 0.09	 0.10	-0.23	 0.14	 0.13	<	-3.71	     	195.65	  0.86	2	  2	Simbad	071.74575	+17.04394
*	J04465897+1702381	 3	N	      	 	 	 38.50	 1.95	 7	M1       	20   	-0.35	 0.09	 0.10	-0.25	 0.13	 0.14	 	-2.10	 0.08	195.65	  0.86	2	  2	Simbad	071.74575	+17.04394
 	J04470620+1658428	 0	Y	      	 	 	115.20	 6.90	 8	K6       	14   	-0.15	 0.04	 0.05	 0.05	 0.07	 0.08	 	-1.70	 0.08	194.60	  2.46	 	  1	Simbad	071.77590	+16.97856
 	J04474859+2925112	 0	Y	      	 	 	 16.50	 1.80	 8	M0.4     	14   	-0.28	 0.10	 0.07	-0.16	 0.15	 0.09	 	-2.67	 0.09	158.35	  1.12	 	  1	Simbad	071.95248	+29.41977
 	J04514737+3047134	 1	Y	 0.880	1	 	 20.80	 0.23	 9	M0       	16   	-0.25	 0.10	 0.04	-0.11	 0.14	 0.06	 	-2.60	 0.08	154.93	  1.43	 	  1	Simbad	072.94746	+30.78710
 	J04514737+3047134	 2	Y	 0.880	1	 	  7.87	 0.25	 9	M2.5     	16   	-0.48	 0.14	 0.08	-0.43	 0.16	 0.11	 	-2.95	 0.09	154.93	  1.43	1	  1	Simbad	072.94746	+30.78710
 	J04542368+1709534	-1	N	      	 	<	  4.20	     	 8	M3/3     	32   	-0.24	 0.19	 0.10	-0.19	 0.19	 0.12	<	-3.35	     	142.16	  1.15	 	  0	Simbad	073.59868	+17.16485
 	J04542368+1709534	 2	N	      	 	<	  4.20	     	 8	M5.5     	42   	-1.05	 0.27	 0.23	-1.25	 0.45	 0.39	<	-3.09	     	142.16	  1.15	1	  0	Simbad	073.59868	+17.16485
*	J04554535+3019389	 0	Y	      	 	<	  0.39	     	 7	M4.7     	14   	-0.86	 0.36	 0.20	-0.92	 0.60	 0.29	<	-4.13	     	154.12	  2.33	 	  1	Simbad	073.93897	+30.32746
*	J04554801+3028050	 2	N	      	 	<	  0.35	     	 7	M5.6     	13   	-1.06	 0.29	 0.22	-1.25	 0.49	 0.36	<	-4.08	     	156.19	  3.73	 	  1	Simbad	073.95009	+30.46801
*	J04554969+3019400	-9	N	      	 	<	  0.35	     	 7	M6       	13   	-1.22	 0.20	 0.29	-1.52	 0.31	 0.49	<	-4.02	     	156.05	  4.63	 	  1	Simbad	073.95709	+30.32777
 	J04555605+3036209	-9	N	      	 	 	  0.65	 0.14	11	M4.0     	14   	-0.73	 0.19	 0.19	-0.68	 0.35	 0.19	 	-3.96	 0.12	156.58	  0.86	2	  1	Simbad	073.98361	+30.60568
 	J04555938+3034015	 0	Y	      	 	 	 27.40	 2.50	 8	G4       	14   	 0.49	 0.02	 0.01	 1.32	 0.09	 0.10	 	-2.83	 0.09	157.68	  1.48	 	  1	Simbad	073.99744	+30.56708
*	J04560118+3026348	-9	N	      	 	<	  0.35	     	 7	M3.1     	14   	-0.55	 0.20	 0.10	-0.51	 0.19	 0.12	<	-4.27	     	156.58	  0.86	2	  1	Simbad	074.00495	+30.44295
 	J05030659+2523197	 0	Y	      	 	 	 29.10	 2.40	 8	M0.8     	14   	-0.33	 0.10	 0.09	-0.22	 0.14	 0.12	 	-2.36	 0.09	168.76	  1.24	 	  1	Simbad	075.77750	+25.38878
 	J05044139+2509544	 0	Y	      	 	 	  7.70	 1.60	 8	M3.7     	14   	-0.67	 0.20	 0.17	-0.63	 0.29	 0.18	 	-2.82	 0.12	169.99	  2.38	 	  1	Simbad	076.17249	+25.16516
*	J05052286+2531312	 1	Y	 2.300	6	 	 33.80	 1.69	 7	M1.8     	14   	-0.42	 0.09	 0.10	-0.36	 0.11	 0.14	 	-2.24	 0.08	171.08	  2.62	 	  1	Simbad	076.34498	+25.52526
*	J05052286+2531312	 2	Y	 2.300	6	<	  0.42	     	 7	M4.6     	14   	-0.84	 0.22	 0.20	-0.89	 0.36	 0.28	<	-4.02	     	171.08	  2.62	1	  1	Simbad	076.34498	+25.52526
*	J05062332+2432199	-1	N	      	 	<	  0.36	     	 7	M4/4.5   	43,8 	-0.43	 0.19	 0.19	-0.46	 0.36	 0.22	<	-4.37	     	138.80	 18.70	3	  1	Simbad	076.59722	+24.53887
 	J05074953+3024050	 1	Y	 1.420	1	 	 27.20	 2.20	 8	K0       	14   	 0.20	 0.04	 0.08	 0.64	 0.07	 0.14	 	-2.77	 0.13	138.80	 18.70	3	  1	Simbad	076.95653	+30.40144
 	J05074953+3024050	 2	Y	 1.420	1	 	  4.40	 0.80	 8	K6.5     	14   	-0.18	 0.02	 0.07	 0.00	 0.03	 0.10	 	-3.40	 0.14	138.80	 18.70	3	  1	Simbad	076.95653	+30.40144
 	J05075496+2500156	 0	Y	      	 	 	  1.16	 0.09	11	M3.7     	14   	-0.67	 0.20	 0.17	-0.63	 0.29	 0.18	 	-3.68	 0.10	164.15	  2.39	 	  1	Simbad	076.97902	+25.00433

